anio,linea,TipoPasaje,TOTAL
05/2017,LINEA 36,NORMAL,406373
05/2017,LINEA 36,-,16638
05/2017,LINEA 365,ATRIBUTO SOCIAL,1075530
05/2017,LINEA 365,NORMAL,1885845
05/2017,LINEA 365,-,165
05/2017,LINEA 37,NORMAL,1078628
05/2017,LINEA 37,-,14422
05/2017,LINEA 37,ATRIBUTO SOCIAL,277119
05/2017,LINEA 370,NORMAL,190785
05/2017,LINEA 370,-,30
05/2017,LINEA 370,ATRIBUTO SOCIAL,106015
05/2017,LINEA 371,NORMAL,742229
05/2017,LINEA 371,-,160
05/2017,LINEA 371,ATRIBUTO SOCIAL,342748
05/2017,LINEA 372,ATRIBUTO SOCIAL,64263
05/2017,LINEA 372,NORMAL,106084
05/2017,LINEA 372,-,6
05/2017,LINEA 373,NORMAL,321341
05/2017,LINEA 373,-,263
05/2017,LINEA 373,ATRIBUTO SOCIAL,169490
05/2017,LINEA 378,NORMAL,829684
05/2017,LINEA 378,-,97
05/2017,LINEA 378,ATRIBUTO SOCIAL,434133
05/2017,LINEA 379,ATRIBUTO SOCIAL,250
05/2017,LINEA 379,NORMAL,293
05/2017,LINEA 382,-,49
05/2017,LINEA 382,ATRIBUTO SOCIAL,185670
05/2017,LINEA 382,NORMAL,395598
05/2017,LINEA 383,ATRIBUTO SOCIAL,259263
05/2017,LINEA 383,NORMAL,417292
05/2017,LINEA 383,-,64
05/2017,LINEA 384,NORMAL,122168
05/2017,LINEA 384,-,2
05/2017,LINEA 384,ATRIBUTO SOCIAL,65411
05/2017,LINEA 385,-,171
05/2017,LINEA 385,ATRIBUTO SOCIAL,138679
05/2017,LINEA 385,NORMAL,268449
05/2017,LINEA 386,ATRIBUTO SOCIAL,117551
05/2017,LINEA 386,NORMAL,224316
05/2017,LINEA 386,-,70
05/2017,LINEA 388,NORMAL,57881
05/2017,LINEA 388,-,7
05/2017,LINEA 388,ATRIBUTO SOCIAL,26407
05/2017,LINEA 39,NORMAL,1270005
05/2017,LINEA 39,-,16219
05/2017,LINEA 39,ATRIBUTO SOCIAL,352561
05/2017,LINEA 390,NORMAL,194500
05/2017,LINEA 390,-,10
05/2017,LINEA 390,ATRIBUTO SOCIAL,98626
05/2017,LINEA 391,ATRIBUTO SOCIAL,315010
05/2017,LINEA 391,NORMAL,506237
05/2017,LINEA 391,-,117
05/2017,LINEA 392,NORMAL,187465
05/2017,LINEA 392,-,4
05/2017,LINEA 392,ATRIBUTO SOCIAL,99216
05/2017,LINEA 394,NORMAL,540572
05/2017,LINEA 394,-,50
05/2017,LINEA 394,ATRIBUTO SOCIAL,219585
05/2017,LINEA 395,ATRIBUTO SOCIAL,219505
05/2017,LINEA 395,NORMAL,359143
05/2017,LINEA 395,-,20
05/2017,LINEA 4,-,14800
05/2017,LINEA 4,ATRIBUTO SOCIAL,181962
05/2017,LINEA 4,NORMAL,576620
05/2017,LINEA 403,ATRIBUTO SOCIAL,10299
05/2017,LINEA 403,NORMAL,20430
05/2017,LINEA 403,-,1
05/2017,LINEA 404,NORMAL,579384
05/2017,LINEA 404,-,74
05/2017,LINEA 404,ATRIBUTO SOCIAL,293823
05/2017,LINEA 405,ATRIBUTO SOCIAL,164450
05/2017,LINEA 405,NORMAL,317263
05/2017,LINEA 405,-,115
05/2017,LINEA 406,ATRIBUTO SOCIAL,279393
05/2017,LINEA 406,NORMAL,644167
05/2017,LINEA 406,-,94
05/2017,LINEA 407,NORMAL,343558
05/2017,LINEA 407,-,22
05/2017,LINEA 407,ATRIBUTO SOCIAL,158010
05/2017,LINEA 41,ATRIBUTO SOCIAL,295153
05/2017,LINEA 41,NORMAL,912205
05/2017,LINEA 41,-,15439
05/2017,LINEA 410,-,69
05/2017,LINEA 410,ATRIBUTO SOCIAL,92338
05/2017,LINEA 410,NORMAL,159397
05/2017,LINEA 414,ATRIBUTO SOCIAL,15282
05/2017,LINEA 414,NORMAL,28545
05/2017,LINEA 414,-,1
05/2017,LINEA 418,NORMAL,61024
05/2017,LINEA 418,ATRIBUTO SOCIAL,29058
05/2017,LINEA 42,ATRIBUTO SOCIAL,202468
05/2017,LINEA 42,NORMAL,691817
05/2017,LINEA 42,-,17469
05/2017,LINEA 421,NORMAL,69326
05/2017,LINEA 421,-,98
05/2017,LINEA 421,ATRIBUTO SOCIAL,28788
05/2017,LINEA 422,NORMAL,573218
05/2017,LINEA 422,-,63
05/2017,LINEA 422,ATRIBUTO SOCIAL,327140
05/2017,LINEA 429,ATRIBUTO SOCIAL,46557
05/2017,LINEA 429,NORMAL,82651
05/2017,LINEA 429,-,58
05/2017,LINEA 430,ATRIBUTO SOCIAL,21477
05/2017,LINEA 430,NORMAL,51773
05/2017,LINEA 430,-,16
05/2017,LINEA 435,NORMAL,101814
05/2017,LINEA 435,-,23
05/2017,LINEA 435,ATRIBUTO SOCIAL,42400
05/2017,LINEA 436,ATRIBUTO SOCIAL,82662
05/2017,LINEA 436,NORMAL,161412
05/2017,LINEA 436,-,6
05/2017,LINEA 437,ATRIBUTO SOCIAL,152615
05/2017,LINEA 437,NORMAL,299961
05/2017,LINEA 437,-,68
05/2017,LINEA 44,NORMAL,657304
05/2017,LINEA 44,-,14510
05/2017,LINEA 44,ATRIBUTO SOCIAL,210961
05/2017,LINEA 440,NORMAL,1935088
05/2017,LINEA 440,-,122
05/2017,LINEA 440,ATRIBUTO SOCIAL,1158132
05/2017,LINEA 441,-,21
05/2017,LINEA 441,ATRIBUTO SOCIAL,196663
05/2017,LINEA 441,NORMAL,348956
05/2017,LINEA 443,ATRIBUTO SOCIAL,21572
05/2017,LINEA 443,NORMAL,37831
05/2017,LINEA 443,-,1
05/2017,LINEA 443A,NORMAL,169539
05/2017,LINEA 443A,-,11
05/2017,LINEA 443A,ATRIBUTO SOCIAL,91126
05/2017,LINEA 445,-,17
05/2017,LINEA 445,ATRIBUTO SOCIAL,109468
05/2017,LINEA 445,NORMAL,189757
05/2017,LINEA 446,ATRIBUTO SOCIAL,10748
05/2017,LINEA 446,NORMAL,30179
05/2017,LINEA 446,-,5
05/2017,LINEA 448,NORMAL,978076
05/2017,LINEA 448,-,104
05/2017,LINEA 448,ATRIBUTO SOCIAL,548499
05/2017,LINEA 449,NORMAL,343956
05/2017,LINEA 449,-,47
05/2017,LINEA 449,ATRIBUTO SOCIAL,240894
05/2017,LINEA 45,ATRIBUTO SOCIAL,185145
05/2017,LINEA 45,NORMAL,777060
05/2017,LINEA 45,-,5754
05/2017,LINEA 46,ATRIBUTO SOCIAL,172883
05/2017,LINEA 46,NORMAL,566547
05/2017,LINEA 46,-,12428
05/2017,LINEA 461,ATRIBUTO SOCIAL,31625
05/2017,LINEA 461,NORMAL,67702
05/2017,LINEA 461,-,2
05/2017,LINEA 462,NORMAL,51499
05/2017,LINEA 462,-,3
05/2017,LINEA 462,ATRIBUTO SOCIAL,21359
05/2017,LINEA 463,NORMAL,354608
05/2017,LINEA 463,-,45
05/2017,LINEA 463,ATRIBUTO SOCIAL,180703
05/2017,LINEA 464,ATRIBUTO SOCIAL,116755
05/2017,LINEA 464,NORMAL,223107
05/2017,LINEA 464,-,81
05/2017,LINEA 47,NORMAL,725847
05/2017,LINEA 47,-,36979
05/2017,LINEA 47,ATRIBUTO SOCIAL,233847
05/2017,LINEA 49,-,1889
05/2017,LINEA 49,ATRIBUTO SOCIAL,111493
05/2017,LINEA 49,NORMAL,242389
05/2017,LINEA 5,ATRIBUTO SOCIAL,211000
05/2017,LINEA 5,NORMAL,706536
05/2017,LINEA 5,-,31774
05/2017,LINEA 50,ATRIBUTO SOCIAL,150955
05/2017,LINEA 50,NORMAL,591892
05/2017,LINEA 50,-,18111
05/2017,LINEA 500A BSAS OLAVARRIA,ATRIBUTO SOCIAL,15058
05/2017,LINEA 500A BSAS OLAVARRIA,NORMAL,12311
05/2017,LINEA 500A BSAS OLAVARRIA,-,31512
05/2017,LINEA 500B,NORMAL,25847
05/2017,LINEA 500B,ATRIBUTO SOCIAL,6531
05/2017,LINEA 500B BSAS OLAVARRIA,NORMAL,8832
05/2017,LINEA 500B BSAS OLAVARRIA,-,22581
05/2017,LINEA 500B BSAS OLAVARRIA,ATRIBUTO SOCIAL,11079
05/2017,LINEA 500C,ATRIBUTO SOCIAL,16066
05/2017,LINEA 500C,NORMAL,41903
05/2017,LINEA 500D,NORMAL,969271
05/2017,LINEA 500D,-,23
05/2017,LINEA 500D,ATRIBUTO SOCIAL,569189
05/2017,LINEA 500G,ATRIBUTO SOCIAL,253630
05/2017,LINEA 500G,NORMAL,384169
05/2017,LINEA 500G,-,10
05/2017,LINEA 500H,ATRIBUTO SOCIAL,72161
05/2017,LINEA 500H,NORMAL,121353
05/2017,LINEA 500H,-,7
05/2017,LINEA 501 A,NORMAL,1024447
05/2017,LINEA 501 A,-,74
05/2017,LINEA 501 A,ATRIBUTO SOCIAL,537768
05/2017,LINEA 501 BSAS OLAVARRIA,ATRIBUTO SOCIAL,12970
05/2017,LINEA 501 BSAS OLAVARRIA,NORMAL,7297
05/2017,LINEA 501 BSAS OLAVARRIA,-,20269
05/2017,LINEA 501B,ATRIBUTO SOCIAL,166644
05/2017,LINEA 501B,NORMAL,298705
05/2017,LINEA 501B,-,21
05/2017,LINEA 501C,NORMAL,2045810
05/2017,LINEA 501C,-,502
05/2017,LINEA 501C,ATRIBUTO SOCIAL,862642
05/2017,LINEA 501D,-,1
05/2017,LINEA 501D,ATRIBUTO SOCIAL,11089
05/2017,LINEA 501D,NORMAL,52436
05/2017,LINEA 501E,ATRIBUTO SOCIAL,30667
05/2017,LINEA 501E,NORMAL,46213
05/2017,LINEA 501E,-,3
05/2017,LINEA 501F,NORMAL,157888
05/2017,LINEA 501F,ATRIBUTO SOCIAL,69278
05/2017,LINEA 501G,NORMAL,2999609
05/2017,LINEA 501G,-,512
05/2017,LINEA 501G,ATRIBUTO SOCIAL,2134293
05/2017,LINEA 501H,NORMAL,31060
05/2017,LINEA 501H,ATRIBUTO SOCIAL,9782
05/2017,LINEA 501I,NORMAL,244471
05/2017,LINEA 501I,-,10
05/2017,LINEA 501I,ATRIBUTO SOCIAL,136693
05/2017,LINEA 502,ATRIBUTO SOCIAL,1669
05/2017,LINEA 502,NORMAL,7194
05/2017,LINEA 502 BSAS OLAVARRIA,NORMAL,8170
05/2017,LINEA 502 BSAS OLAVARRIA,-,15271
05/2017,LINEA 502 BSAS OLAVARRIA,ATRIBUTO SOCIAL,12146
05/2017,LINEA 502A,ATRIBUTO SOCIAL,2193
05/2017,LINEA 502A,NORMAL,9580
05/2017,LINEA 502B,NORMAL,37821
05/2017,LINEA 502B,ATRIBUTO SOCIAL,14910
05/2017,LINEA 503,NORMAL,177910
05/2017,LINEA 503,-,7
05/2017,LINEA 503,ATRIBUTO SOCIAL,91843
05/2017,LINEA 503 B,ATRIBUTO SOCIAL,124585
05/2017,LINEA 503 B,NORMAL,287488
05/2017,LINEA 503 B,-,25
05/2017,LINEA 503 BSAS OLAVARRIA,ATRIBUTO SOCIAL,14948
05/2017,LINEA 503 BSAS OLAVARRIA,NORMAL,9833
05/2017,LINEA 503 BSAS OLAVARRIA,-,15734
05/2017,LINEA 503 ESTE,NORMAL,647557
05/2017,LINEA 503 ESTE,-,1
05/2017,LINEA 503 ESTE,ATRIBUTO SOCIAL,296533
05/2017,LINEA 503 ESTE LA PLATA,ATRIBUTO SOCIAL,63821
05/2017,LINEA 503 ESTE LA PLATA,NORMAL,122278
05/2017,LINEA 503A BS AS,NORMAL,724006
05/2017,LINEA 503A BS AS,-,27
05/2017,LINEA 503A BS AS,ATRIBUTO SOCIAL,383223
05/2017,LINEA 503C,ATRIBUTO SOCIAL,6531
05/2017,LINEA 503C,NORMAL,14087
05/2017,LINEA 503H (RIVAS),ATRIBUTO SOCIAL,46771
05/2017,LINEA 503H (RIVAS),NORMAL,76809
05/2017,LINEA 503H (RIVAS),-,2
05/2017,LINEA 504 BSAS OLAVARRIA,ATRIBUTO SOCIAL,19946
05/2017,LINEA 504 BSAS OLAVARRIA,NORMAL,10929
05/2017,LINEA 504 BSAS OLAVARRIA,-,25548
05/2017,LINEA 504A,NORMAL,1197949
05/2017,LINEA 504A,-,145
05/2017,LINEA 504A,ATRIBUTO SOCIAL,714961
05/2017,LINEA 504B,ATRIBUTO SOCIAL,7635
05/2017,LINEA 504B,NORMAL,15037
05/2017,LINEA 504C,NORMAL,94053
05/2017,LINEA 504C,-,4
05/2017,LINEA 504C,ATRIBUTO SOCIAL,64228
05/2017,LINEA 505,ATRIBUTO SOCIAL,181726
05/2017,LINEA 505,NORMAL,320307
05/2017,LINEA 505,-,25
05/2017,LINEA 505 D,NORMAL,230640
05/2017,LINEA 505 D,-,13
05/2017,LINEA 505 D,ATRIBUTO SOCIAL,150427
05/2017,LINEA 505C,NORMAL,24202
05/2017,LINEA 505C,ATRIBUTO SOCIAL,13070
05/2017,LINEA 505E,NORMAL,2142
05/2017,LINEA 505E,ATRIBUTO SOCIAL,1154
05/2017,LINEA 506,NORMAL,115702
05/2017,LINEA 506,-,5
05/2017,LINEA 506,ATRIBUTO SOCIAL,64060
05/2017,LINEA 506A,NORMAL,111650
05/2017,LINEA 506A,-,10
05/2017,LINEA 506A,ATRIBUTO SOCIAL,70611
05/2017,LINEA 506B,ATRIBUTO SOCIAL,156
05/2017,LINEA 506B,NORMAL,316
05/2017,LINEA 506C,ATRIBUTO SOCIAL,365277
05/2017,LINEA 506C,NORMAL,700546
05/2017,LINEA 506C,-,366
05/2017,LINEA 506F,ATRIBUTO SOCIAL,109567
05/2017,LINEA 506F,NORMAL,215872
05/2017,LINEA 506F,-,3
05/2017,LINEA 507,NORMAL,93579
05/2017,LINEA 507,-,6
05/2017,LINEA 507,ATRIBUTO SOCIAL,55481
05/2017,LINEA 507B,-,4
05/2017,LINEA 507B,ATRIBUTO SOCIAL,32194
05/2017,LINEA 507B,NORMAL,57404
05/2017,LINEA 508,ATRIBUTO SOCIAL,55708
05/2017,LINEA 508,NORMAL,94703
05/2017,LINEA 508,-,14
05/2017,LINEA 508A,NORMAL,100620
05/2017,LINEA 508A,-,33
05/2017,LINEA 508A,ATRIBUTO SOCIAL,65378
05/2017,LINEA 508C,ATRIBUTO SOCIAL,13723
05/2017,LINEA 508C,NORMAL,30846
05/2017,LINEA 509,NORMAL,91988
05/2017,LINEA 509,-,42
05/2017,LINEA 509,ATRIBUTO SOCIAL,63591
05/2017,LINEA 509C,ATRIBUTO SOCIAL,39670
05/2017,LINEA 509C,NORMAL,63122
05/2017,LINEA 509C,-,3
05/2017,LINEA 51,NORMAL,532106
05/2017,LINEA 51,-,96
05/2017,LINEA 51,ATRIBUTO SOCIAL,200681
05/2017,LINEA 510A,ATRIBUTO SOCIAL,67157
05/2017,LINEA 510A,NORMAL,114195
05/2017,LINEA 510A,-,17
05/2017,LINEA 510B,NORMAL,570916
05/2017,LINEA 510B,-,15
05/2017,LINEA 510B,ATRIBUTO SOCIAL,262702
05/2017,LINEA 511,ATRIBUTO SOCIAL,41406
05/2017,LINEA 511,NORMAL,63868
05/2017,LINEA 511,-,5
05/2017,LINEA 511A,ATRIBUTO SOCIAL,69
05/2017,LINEA 511A,NORMAL,138
05/2017,LINEA 511B,ATRIBUTO SOCIAL,138489
05/2017,LINEA 511B,NORMAL,251246
05/2017,LINEA 511B,-,20
05/2017,LINEA 512,NORMAL,39777
05/2017,LINEA 512,-,2
05/2017,LINEA 512,ATRIBUTO SOCIAL,23903
05/2017,LINEA 513,NORMAL,2299
05/2017,LINEA 513,ATRIBUTO SOCIAL,1477
05/2017,LINEA 513A,NORMAL,143195
05/2017,LINEA 513A,-,12
05/2017,LINEA 513A,ATRIBUTO SOCIAL,69713
05/2017,LINEA 514,ATRIBUTO SOCIAL,391212
05/2017,LINEA 514,NORMAL,700324
05/2017,LINEA 514,-,105
05/2017,LINEA 515,ATRIBUTO SOCIAL,247604
05/2017,LINEA 515,NORMAL,468133
05/2017,LINEA 515,-,213
05/2017,LINEA 518,NORMAL,847478
05/2017,LINEA 518,-,140
05/2017,LINEA 518,ATRIBUTO SOCIAL,422373
05/2017,LINEA 518 LA PLATA,ATRIBUTO SOCIAL,15191
05/2017,LINEA 518 LA PLATA,NORMAL,36503
05/2017,LINEA 520A,NORMAL,487669
05/2017,LINEA 520A,-,41
05/2017,LINEA 520A,ATRIBUTO SOCIAL,249344
05/2017,LINEA 520B,ATRIBUTO SOCIAL,181982
05/2017,LINEA 520B,NORMAL,364774
05/2017,LINEA 520B,-,106
05/2017,LINEA 520C,NORMAL,270713
05/2017,LINEA 520C,ATRIBUTO SOCIAL,119979
05/2017,LINEA 521 A,ATRIBUTO SOCIAL,71795
05/2017,LINEA 521 A,NORMAL,157853
05/2017,LINEA 521 A,-,13
05/2017,LINEA 521B,NORMAL,54743
05/2017,LINEA 521B,ATRIBUTO SOCIAL,19504
05/2017,LINEA 522,NORMAL,32134
05/2017,LINEA 522,-,9
05/2017,LINEA 522,ATRIBUTO SOCIAL,16098
05/2017,LINEA 523,NORMAL,133719
05/2017,LINEA 523,-,37
05/2017,LINEA 523,ATRIBUTO SOCIAL,74793
05/2017,LINEA 524,ATRIBUTO SOCIAL,116511
05/2017,LINEA 524,NORMAL,202857
05/2017,LINEA 524,-,51
05/2017,LINEA 526,NORMAL,375334
05/2017,LINEA 526,-,52
05/2017,LINEA 526,ATRIBUTO SOCIAL,176654
05/2017,LINEA 527,NORMAL,111469
05/2017,LINEA 527,-,34
05/2017,LINEA 527,ATRIBUTO SOCIAL,61330
05/2017,LINEA 53,-,15343
05/2017,LINEA 53,ATRIBUTO SOCIAL,401616
05/2017,LINEA 53,NORMAL,1104685
05/2017,LINEA 532,ATRIBUTO SOCIAL,191294
05/2017,LINEA 532,NORMAL,319021
05/2017,LINEA 532,-,982
05/2017,LINEA 540 BSAS,ATRIBUTO SOCIAL,186068
05/2017,LINEA 540 BSAS,NORMAL,343137
05/2017,LINEA 540 BSAS,-,258
05/2017,LINEA 541,NORMAL,341350
05/2017,LINEA 541,-,482
05/2017,LINEA 541,ATRIBUTO SOCIAL,197460
05/2017,LINEA 542,ATRIBUTO SOCIAL,115758
05/2017,LINEA 542,NORMAL,252432
05/2017,LINEA 542,-,302
05/2017,LINEA 543,ATRIBUTO SOCIAL,227298
05/2017,LINEA 543,NORMAL,461770
05/2017,LINEA 543,-,42
05/2017,LINEA 544,NORMAL,372220
05/2017,LINEA 544,-,294
05/2017,LINEA 544,ATRIBUTO SOCIAL,216216
05/2017,LINEA 548,-,32
05/2017,LINEA 548,ATRIBUTO SOCIAL,129716
05/2017,LINEA 548,NORMAL,266176
05/2017,LINEA 55,ATRIBUTO SOCIAL,261105
05/2017,LINEA 55,NORMAL,833918
05/2017,LINEA 55,-,10884
05/2017,LINEA 550 BSAS,ATRIBUTO SOCIAL,119429
05/2017,LINEA 550 BSAS,NORMAL,199322
05/2017,LINEA 550 BSAS,-,66
05/2017,LINEA 551,NORMAL,139789
05/2017,LINEA 551,-,154
05/2017,LINEA 551,ATRIBUTO SOCIAL,64014
05/2017,LINEA 552 BSAS,-,26
05/2017,LINEA 552 BSAS,ATRIBUTO SOCIAL,135585
05/2017,LINEA 552 BSAS,NORMAL,261142
05/2017,LINEA 553 BSAS,ATRIBUTO SOCIAL,127657
05/2017,LINEA 553 BSAS,NORMAL,224796
05/2017,LINEA 553 BSAS,-,132
05/2017,LINEA 56,NORMAL,442545
05/2017,LINEA 56,-,9961
05/2017,LINEA 56,ATRIBUTO SOCIAL,126525
05/2017,LINEA 561,NORMAL,118500
05/2017,LINEA 561,ATRIBUTO SOCIAL,49651
05/2017,LINEA 561B,ATRIBUTO SOCIAL,13357
05/2017,LINEA 561B,NORMAL,25680
05/2017,LINEA 562,ATRIBUTO SOCIAL,120739
05/2017,LINEA 562,NORMAL,251871
05/2017,LINEA 562,-,4
05/2017,LINEA 564,NORMAL,296776
05/2017,LINEA 564,-,15
05/2017,LINEA 564,ATRIBUTO SOCIAL,139341
05/2017,LINEA 57,NORMAL,845196
05/2017,LINEA 57,-,3334
05/2017,LINEA 57,ATRIBUTO SOCIAL,458600
05/2017,LINEA 570,-,212
05/2017,LINEA 570,ATRIBUTO SOCIAL,181390
05/2017,LINEA 570,NORMAL,386870
05/2017,LINEA 580,ATRIBUTO SOCIAL,83486
05/2017,LINEA 580,NORMAL,142529
05/2017,LINEA 580,-,7
05/2017,LINEA 582,NORMAL,379712
05/2017,LINEA 582,-,33
05/2017,LINEA 582,ATRIBUTO SOCIAL,200367
05/2017,LINEA 583,NORMAL,199521
05/2017,LINEA 583,-,12
05/2017,LINEA 583,ATRIBUTO SOCIAL,132768
05/2017,LINEA 584,ATRIBUTO SOCIAL,146983
05/2017,LINEA 584,NORMAL,243621
05/2017,LINEA 584,-,21
05/2017,LINEA 585,NORMAL,478466
05/2017,LINEA 585,-,41
05/2017,LINEA 585,ATRIBUTO SOCIAL,313668
05/2017,LINEA 586,NORMAL,3770
05/2017,LINEA 586,ATRIBUTO SOCIAL,2321
05/2017,LINEA 59,ATRIBUTO SOCIAL,549234
05/2017,LINEA 59,NORMAL,1635356
05/2017,LINEA 59,-,8216
05/2017,LINEA 6,NORMAL,362333
05/2017,LINEA 6,-,10691
05/2017,LINEA 6,ATRIBUTO SOCIAL,103907
05/2017,LINEA 60,NORMAL,1897865
05/2017,LINEA 60,-,3320
05/2017,LINEA 60,ATRIBUTO SOCIAL,683673
05/2017,LINEA 600,NORMAL,5644
05/2017,LINEA 600,ATRIBUTO SOCIAL,901
05/2017,LINEA 603,NORMAL,358598
05/2017,LINEA 603,-,17
05/2017,LINEA 603,ATRIBUTO SOCIAL,227925
05/2017,LINEA 61,NORMAL,212532
05/2017,LINEA 61,-,2026
05/2017,LINEA 61,ATRIBUTO SOCIAL,66616
05/2017,LINEA 619,NORMAL,259491
05/2017,LINEA 619,-,19
05/2017,LINEA 619,ATRIBUTO SOCIAL,147041
05/2017,LINEA 62,ATRIBUTO SOCIAL,73220
05/2017,LINEA 62,NORMAL,246880
05/2017,LINEA 62,-,2152
05/2017,LINEA 620,ATRIBUTO SOCIAL,1047845
05/2017,LINEA 620,NORMAL,2035407
05/2017,LINEA 620,-,318
05/2017,LINEA 621,NORMAL,668313
05/2017,LINEA 621,-,122
05/2017,LINEA 621,ATRIBUTO SOCIAL,367397
05/2017,LINEA 622,NORMAL,727707
05/2017,LINEA 622,-,187
05/2017,LINEA 622,ATRIBUTO SOCIAL,448923
05/2017,LINEA 624,ATRIBUTO SOCIAL,394292
05/2017,LINEA 624,NORMAL,661120
05/2017,LINEA 624,-,84
05/2017,LINEA 628,ATRIBUTO SOCIAL,50060
05/2017,LINEA 628,NORMAL,101844
05/2017,LINEA 628,-,20
05/2017,LINEA 63,ATRIBUTO SOCIAL,242272
05/2017,LINEA 63,NORMAL,718410
05/2017,LINEA 63,-,15546
05/2017,LINEA 630,NORMAL,366229
05/2017,LINEA 630,-,426
05/2017,LINEA 630,ATRIBUTO SOCIAL,192352
05/2017,LINEA 634,ATRIBUTO SOCIAL,205435
05/2017,LINEA 634,NORMAL,385226
05/2017,LINEA 634,-,33
05/2017,LINEA 635 BS AS,ATRIBUTO SOCIAL,104935
05/2017,LINEA 635 BS AS,NORMAL,179655
05/2017,LINEA 635 BS AS,-,14
05/2017,LINEA 64,NORMAL,722471
05/2017,LINEA 64,-,10062
05/2017,LINEA 64,ATRIBUTO SOCIAL,217895
05/2017,LINEA 65,ATRIBUTO SOCIAL,239794
05/2017,LINEA 65,NORMAL,757451
05/2017,LINEA 65,-,14576
05/2017,LINEA 67,ATRIBUTO SOCIAL,190325
05/2017,LINEA 67,NORMAL,552465
05/2017,LINEA 67,-,8870
05/2017,LINEA 670,NORMAL,594428
05/2017,LINEA 670,-,188
05/2017,LINEA 670,ATRIBUTO SOCIAL,433762
05/2017,LINEA 68,NORMAL,1026787
05/2017,LINEA 68,-,12968
05/2017,LINEA 68,ATRIBUTO SOCIAL,422620
05/2017,LINEA 7,-,18491
05/2017,LINEA 7,ATRIBUTO SOCIAL,141948
05/2017,LINEA 7,NORMAL,470191
05/2017,LINEA 70,-,23620
05/2017,LINEA 70,ATRIBUTO SOCIAL,183794
05/2017,LINEA 70,NORMAL,641948
05/2017,LINEA 707,-,103
05/2017,LINEA 707,ATRIBUTO SOCIAL,463085
05/2017,LINEA 707,NORMAL,1009605
05/2017,LINEA 71,ATRIBUTO SOCIAL,401256
05/2017,LINEA 71,NORMAL,1134060
05/2017,LINEA 71,-,18935
05/2017,LINEA 710,ATRIBUTO SOCIAL,319375
05/2017,LINEA 710,NORMAL,583679
05/2017,LINEA 710,-,68
05/2017,LINEA 720,NORMAL,1446993
05/2017,LINEA 720,-,231
05/2017,LINEA 720,ATRIBUTO SOCIAL,685972
05/2017,LINEA 721,-,49
05/2017,LINEA 721,ATRIBUTO SOCIAL,478806
05/2017,LINEA 721,NORMAL,868669
05/2017,LINEA 722,ATRIBUTO SOCIAL,63126
05/2017,LINEA 722,NORMAL,132967
05/2017,LINEA 722,-,23
05/2017,LINEA 723,NORMAL,337553
05/2017,LINEA 723,-,263
05/2017,LINEA 723,ATRIBUTO SOCIAL,179179
05/2017,LINEA 74,NORMAL,232012
05/2017,LINEA 74,-,322
05/2017,LINEA 74,ATRIBUTO SOCIAL,75438
05/2017,LINEA 740,NORMAL,588008
05/2017,LINEA 740,-,116
05/2017,LINEA 740,ATRIBUTO SOCIAL,390040
05/2017,LINEA 741,ATRIBUTO SOCIAL,170021
05/2017,LINEA 741,NORMAL,255949
05/2017,LINEA 741,-,24
05/2017,LINEA 749,NORMAL,685914
05/2017,LINEA 749,-,95
05/2017,LINEA 749,ATRIBUTO SOCIAL,495820
05/2017,LINEA 75,-,2718
05/2017,LINEA 75,ATRIBUTO SOCIAL,74459
05/2017,LINEA 75,NORMAL,207603
05/2017,LINEA 76,ATRIBUTO SOCIAL,215840
05/2017,LINEA 76,NORMAL,698111
05/2017,LINEA 76,-,23839
05/2017,LINEA 78,NORMAL,643544
05/2017,LINEA 78,-,2790
05/2017,LINEA 78,ATRIBUTO SOCIAL,238590
05/2017,LINEA 79,NORMAL,492340
05/2017,LINEA 79,-,1131
05/2017,LINEA 79,ATRIBUTO SOCIAL,197184
05/2017,LINEA 8,ATRIBUTO SOCIAL,230044
05/2017,LINEA 8,NORMAL,794162
05/2017,LINEA 8,-,6559
05/2017,LINEA 80,ATRIBUTO SOCIAL,385765
05/2017,LINEA 80,NORMAL,1111698
05/2017,LINEA 80,-,37636
05/2017,LINEA 84,NORMAL,509513
05/2017,LINEA 84,-,11933
05/2017,LINEA 84,ATRIBUTO SOCIAL,177146
05/2017,LINEA 85,NORMAL,1239686
05/2017,LINEA 85,-,20892
05/2017,LINEA 85,ATRIBUTO SOCIAL,470215
05/2017,LINEA 86,ATRIBUTO SOCIAL,249656
05/2017,LINEA 86,NORMAL,568917
05/2017,LINEA 86,-,1925
05/2017,LINEA 87,ATRIBUTO SOCIAL,271588
05/2017,LINEA 87,NORMAL,618883
05/2017,LINEA 87,-,1790
05/2017,LINEA 88,NORMAL,522838
05/2017,LINEA 88,-,1049
05/2017,LINEA 88,ATRIBUTO SOCIAL,222653
05/2017,LINEA 9,NORMAL,772443
05/2017,LINEA 9,-,8473
05/2017,LINEA 9,ATRIBUTO SOCIAL,236314
05/2017,LINEA 90,ATRIBUTO SOCIAL,135616
05/2017,LINEA 90,NORMAL,363603
05/2017,LINEA 90,-,4789
05/2017,LINEA 91,ATRIBUTO SOCIAL,272106
05/2017,LINEA 91,NORMAL,783747
05/2017,LINEA 91,-,15518
05/2017,LINEA 92,NORMAL,1144188
05/2017,LINEA 92,-,24587
05/2017,LINEA 92,ATRIBUTO SOCIAL,369958
05/2017,LINEA 93,-,9645
